DTXSID,label,predicted_proba,is_error,uncertainty_std,nn_tanimoto_to_train,ad_novelty
DTXSID7023724,0.0,0.354,False,0.47820915925983587,0.375,0.625
DTXSID2023725,0.0,0.13,False,0.3363034344160046,0.4230769230769231,0.5769230769230769
DTXSID6023735,0.0,0.416,False,0.4928934976239799,0.32894736842105265,0.6710526315789473
DTXSID5023740,1.0,0.388,True,0.4872945721019252,0.288135593220339,0.711864406779661
DTXSID5023748,0.0,0.292,False,0.4546823066713719,0.2807017543859649,0.7192982456140351
DTXSID9023752,0.0,0.39,False,0.48774993593028976,0.28846153846153844,0.7115384615384616
DTXSID9023756,0.0,0.72,True,0.44899888641287383,0.42857142857142855,0.5714285714285714
DTXSID5023796,0.0,0.228,False,0.41954260808647376,0.88,0.12
DTXSID1023819,0.0,0.062,False,0.2411555514600495,0.5625,0.4375
DTXSID9023835,1.0,0.202,True,0.40149221661197765,0.25190839694656486,0.7480916030534351
DTXSID3023845,0.0,0.394,False,0.4886348329785768,0.5294117647058824,0.47058823529411764
DTXSID9023881,0.0,0.686,True,0.46411636471902223,0.631578947368421,0.368421052631579
DTXSID9023889,0.0,0.28,False,0.4489988864128738,0.4482758620689655,0.5517241379310345
DTXSID0023901,0.0,0.296,False,0.4564909637659855,0.42857142857142855,0.5714285714285714
DTXSID0023907,1.0,0.666,False,0.4716396929860744,0.4166666666666667,0.5833333333333333
DTXSID5023908,0.0,0.826,True,0.37910948286741747,0.625,0.375
DTXSID0023909,0.0,0.694,True,0.46082968654373785,0.47368421052631576,0.5263157894736843
DTXSID0023951,0.0,0.325,False,0.46784078488306385,0.39473684210526316,0.6052631578947368
DTXSID6024048,0.0,0.488,False,0.49985597925802827,0.3076923076923077,0.6923076923076923
DTXSID7024081,0.0,0.026,False,0.15913516267626146,0.38095238095238093,0.6190476190476191
DTXSID8024107,1.0,0.594,False,0.4910845141113678,0.38095238095238093,0.6190476190476191
DTXSID1024126,1.0,0.42,True,0.49355850717012245,0.3333333333333333,0.6666666666666667
DTXSID8024151,0.0,0.462,False,0.4985539088203001,0.7142857142857143,0.2857142857142857
DTXSID3024152,0.0,0.198,False,0.39849215801568677,0.62,0.38
DTXSID8024159,1.0,0.404,True,0.4906974628016746,0.3617021276595745,0.6382978723404256
DTXSID7024164,0.0,0.176,False,0.3808201675331815,0.48333333333333334,0.5166666666666666
DTXSID7024166,0.0,0.062,False,0.24115555146004933,0.35714285714285715,0.6428571428571428
DTXSID3024235,1.0,0.292,True,0.4546823066713718,0.41304347826086957,0.5869565217391304
