DTXSID,PREFERRED_NAME,reason,collided_with_dtxsid
DTXSID0029474,"Alkyl (C8,C10) glycidyl ether",empty_smiles,
DTXSID4029565,"1,2-Benzenedicarboxylic acid, diundecyl ester, branched and linear",empty_smiles,
DTXSID2029668,Ammonium nitrate,inorganic_no_carbon,
DTXSID1029677,Silica,inorganic_no_carbon,
DTXSID1029679,Tetrachlorostannane,inorganic_no_carbon,
DTXSID5029683,Sulfuric acid,inorganic_no_carbon,
DTXSID0029688,Iron(II) sulfate,inorganic_no_carbon,
DTXSID4029690,Potassium persulfate,inorganic_no_carbon,
DTXSID9029691,Diammonium peroxydisulfate,inorganic_no_carbon,
DTXSID4029692,Potassium nitrate,inorganic_no_carbon,
DTXSID9029695,Ferrous chloride,mixture_no_dominant_fragment,
DTXSID4029698,Sodium persulfate,inorganic_no_carbon,
DTXSID6029703,Ammonium thiosulfate,inorganic_no_carbon,
DTXSID6029707,Sulfuryl chloride,inorganic_no_carbon,
DTXSID5029710,Phosphoric trichloride,inorganic_no_carbon,
DTXSID8029739,Fluoboric acid,inorganic_no_carbon,
DTXSID6029755,"1,2-Propanediol monobutyl ether",empty_smiles,
DTXSID4029806,"Benzenesulfonic acid, C10-14-alkyl derivs., sodium salts",empty_smiles,
DTXSID3029815,"Tridecylamine, branched and linear",empty_smiles,
DTXSID0029848,"Acetic acid, C8-10-branched alkyl esters, C9-rich",empty_smiles,
DTXSID2030857,Black cohosh,empty_smiles,
DTXSID6031209,tert-Butyl hydroperoxide (70% Solution in Water),empty_smiles,
DTXSID8031366,Ginkgo biloba extract,empty_smiles,
DTXSID5031428,Dihydroergotoxine mesylate,empty_smiles,
DTXSID3031444,Indium phosphide,too_small,
DTXSID2031532,Lime oil,empty_smiles,
DTXSID6032061,Sodium dichromate dihydrate,inorganic_no_carbon,
DTXSID0032077,Sodium selenite,inorganic_no_carbon,
DTXSID9033264,Boron trifluoride dihydrate,inorganic_no_carbon,
DTXSID6033326,Chlorowax 500C,empty_smiles,
DTXSID3033511,Fluorosulfonic acid,inorganic_no_carbon,
DTXSID8033566,Indium trichloride,inorganic_no_carbon,
DTXSID9033896,Phosphorus pentachloride,inorganic_no_carbon,
DTXSID3033983,Sodium hydrogen sulfate,inorganic_no_carbon,
DTXSID6034005,Sulfamic acid,inorganic_no_carbon,
DTXSID9034317,Benzalkonium chloride,empty_smiles,
DTXSID0034566,Emamectin benzoate,empty_smiles,
DTXSID7034672,Iodine,too_small,
DTXSID9034737,Metiram,empty_smiles,
DTXSID8034742,"Milbemectin (mixture of 70% Milbemycin A4, 30% Milbemycin A3)",empty_smiles,
DTXSID7034836,Potassium iodide,mixture_no_dominant_fragment,
DTXSID8034873,Pyrethrins,empty_smiles,
DTXSID3034903,Sodium bromide,mixture_no_dominant_fragment,
DTXSID2035013,Zinc chloride,mixture_no_dominant_fragment,
DTXSID9036933,Sodium hexafluorosilicate,inorganic_no_carbon,
DTXSID6037015,Potassium tetrafluoroborate,inorganic_no_carbon,
DTXSID0037235,Gentamicin sulfate,empty_smiles,
DTXSID7037684,Polybrene,empty_smiles,
DTXSID1039719,"Nitric acid, calcium salt (2:1)",inorganic_no_carbon,
DTXSID7040316,Nickel chloride,mixture_no_dominant_fragment,
DTXSID3040352,Dinocap,empty_smiles,
DTXSID7040449,Copper(II) chloride,mixture_no_dominant_fragment,
DTXSID4040688,Nystatin,empty_smiles,
DTXSID8040775,Terpineol,empty_smiles,
DTXSID4041074,Neomycin sulfate,empty_smiles,
DTXSID2041125,Sodium iodide,mixture_no_dominant_fragment,
DTXSID6041557,Dihydromyrcenol,empty_smiles,
DTXSID2041703,Butylnaphthalenesulfonic acid sodium salt,empty_smiles,
DTXSID0041721,C.I. Acid Yellow 3 disodium salt,empty_smiles,
DTXSID5041803,Copper(I) iodide,mixture_no_dominant_fragment,
DTXSID8041909,Dysprosium(III) chloride,mixture_no_dominant_fragment,
DTXSID8042006,Glyceryl monooctanoate,empty_smiles,
DTXSID3042007,Glyceryl monoricinoleate,empty_smiles,
DTXSID9042124,Mercuric iodide,mixture_no_dominant_fragment,
DTXSID5042320,Potassium nitrite,inorganic_no_carbon,
DTXSID0042327,Dipropylene glycol dimethyl ether,empty_smiles,
DTXSID9042338,Di(propylene glycol) tert-butyl ether,empty_smiles,
DTXSID9042465,Tetrasodium pyrophosphate,inorganic_no_carbon,
DTXSID4044161,Antimony trichloride,inorganic_no_carbon,
DTXSID8044175,Clove leaf oil,empty_smiles,
DTXSID8044177,Nutmeg oil,empty_smiles,
DTXSID0044317,8-Hydroxyquinoline-5-sulfonic acid hydrate (1:x),empty_smiles,
DTXSID5044318,Chloramine T hydrate (1:x),empty_smiles,
DTXSID4044379,Gold trichloride,inorganic_no_carbon,
DTXSID6044484,Isononanamine,empty_smiles,
DTXSID7044504,Cadmium dinitrate,inorganic_no_carbon,
DTXSID7044508,Barium chloride,mixture_no_dominant_fragment,
DTXSID4044537,Sodium triisopropyl naphthalene sulfonate,empty_smiles,
DTXSID8044541,Isocyclocitral,empty_smiles,
DTXSID0044577,Calcium bromide,mixture_no_dominant_fragment,
DTXSID9044580,Pentaerythritol allyl ether,empty_smiles,
DTXSID7044760,Neodymium(III) chloride,inorganic_no_carbon,
DTXSID0044783,"2-Silylpropyl-urea, Si-(ethoxy and methoxy) derivs",empty_smiles,
DTXSID9044900,Tricyclodecanedimethanol,empty_smiles,
DTXSID9044902,Calcium neodecanoate,empty_smiles,
DTXSID9044904,C.I. Acid Blue 22,empty_smiles,
DTXSID8044911,Isooctyl 3-mercaptopropionate,empty_smiles,
DTXSID6044935,"Chromium acetate, basic",empty_smiles,
DTXSID4044951,2-Hydroxyethyl methacrylate phosphate,empty_smiles,
DTXSID9044958,Trimethylsilyl silicate,empty_smiles,
DTXSID7044978,"Bis[(2-ethyl-2,5-dimethylhexanoyl)oxy](dimethyl)stannane",empty_smiles,
DTXSID6045111,Adriamycin hydrochloride-DNA complex,empty_smiles,
DTXSID3045352,Colistin sulfate,empty_smiles,
DTXSID3045354,Vancomycin hydrochloride,empty_smiles,
DTXSID8045355,Bacitracin,empty_smiles,
DTXSID6045406,Vitamin K2,empty_smiles,
DTXSID0045414,Alcuronium chloride,unparseable_smiles,
DTXSID2045604,Verteporfin,empty_smiles,
DTXSID2045735,Cochineal,empty_smiles,
DTXSID5045750,Amperozide hydrochloride,empty_smiles,
DTXSID6045822,Colistimethate sodium,empty_smiles,
DTXSID5045839,Polymixin B sulfate,empty_smiles,
DTXSID4045846,Tyrothricin,empty_smiles,
DTXSID4045848,Acriflavine hydrochloride,empty_smiles,
DTXSID1045900,Mepartricin,empty_smiles,
DTXSID0045969,Enoxaparin sodium,empty_smiles,
DTXSID3045984,Cellobiose,empty_smiles,
DTXSID8046290,Viomycin sulfate (1:x),empty_smiles,
DTXSID9046318,(+/-) -Niguldipine hydrochloride (1:x),empty_smiles,
DTXSID2046414,Muromonab-CD3,empty_smiles,
DTXSID8046537,Bismuth oxide (Bi2O3),inorganic_no_carbon,
DTXSID8046583,Antimony(V) sulfide,inorganic_no_carbon,
DTXSID9046605,Sodium triphosphate hydrate (5:1:6),inorganic_no_carbon,
DTXSID8046666,C.I. Basic Violet 1,empty_smiles,
DTXSID6046688,"1,2-Benzenediol, 4,4′-[1,6-hexanediylbis[imino(1-hydroxy-2,1-ethanediyl)]]bis-, sulfate (salt)",empty_smiles,
DTXSID7046750,Hyaluronic acid,empty_smiles,
DTXSID9046819,Diethylaminoethyl-sephacel,empty_smiles,
DTXSID8046826,Uricase from Bacillus fastidiosus,empty_smiles,
DTXSID3046829,Hydroxyethyl starch,empty_smiles,
DTXSID6046894,Cytochrome C,empty_smiles,
DTXSID1046978,C12-14-Alkyldimethyl betaines,empty_smiles,
DTXSID3047003,Potassium perchlorate,inorganic_no_carbon,
DTXSID1047027,Ditridecyl phthalate (mixture of branched chain isomers),empty_smiles,
DTXSID4047040,Zinc neodecanoate,empty_smiles,
DTXSID9047043,Potassium tetrathionate,inorganic_no_carbon,
DTXSID3047051,Ocimene-Limonene mixture,empty_smiles,
DTXSID6047076,Ammonium hexafluorosilicate,unparseable_smiles,
DTXSID0047117,Ytterbium(III) chloride,mixture_no_dominant_fragment,
DTXSID7047140,Isopropyl citrate (Mixture),empty_smiles,
DTXSID4047179,Isocetyl stearate,empty_smiles,
DTXSID3047180,Triisodecyl trimellitate,empty_smiles,
DTXSID8047218,"Sodium bisulfite, mixture of NaHSO3 and Na2S2O5",empty_smiles,
DTXSID0047242,"2,4-Diaminoanisole sulfate hydrate (1:1:x)",empty_smiles,
DTXSID5047245,Corexit 9500,empty_smiles,
DTXSID1047364,SSR 103800,empty_smiles,
DTXSID3047394,Grinstad Soft-N-Safe,empty_smiles,
DTXSID8047395,"Diisononyl cyclohexane-1,2-dicarboxylate",empty_smiles,
DTXSID3047427,"2,4-DB-isooctyl ester",empty_smiles,
DTXSID6047448,Potassium chlorate,inorganic_no_carbon,
DTXSID3047473,Polymethylene polyphenyl polyisocyanate,empty_smiles,
DTXSID2047484,Magnesium dinitrate hexahydrate,inorganic_no_carbon,
DTXSID2047486,Methoxybenzyl alcohol,empty_smiles,
DTXSID8047501,Poly[oxy(methylsilylene)],ambiguous_wildcard_atom,
DTXSID7047512,Indium(III) chloride hydrate,inorganic_no_carbon,
DTXSID2047517,"Hexanedioic acid, di-C7-9-branched and linear alkyl esters",empty_smiles,
DTXSID1047526,C10-21 alkanesulfonic acids phenyl esters,empty_smiles,
DTXSID6047527,"Adipic acid, polypropyleneglycol, laurate",empty_smiles,
DTXSID4047597,Poloxalene,empty_smiles,
DTXSID8047630,Tetronic 701,empty_smiles,
DTXSID1047657,"1,3-Nonanediol monoacetate",empty_smiles,
DTXSID2047696,Cremophor EL,empty_smiles,
DTXSID9047708,Igepal CO-890,empty_smiles,
DTXSID4047709,Cananga oil,empty_smiles,
DTXSID8047711,"Oils, bran",empty_smiles,
DTXSID3047712,Cornmint oil,empty_smiles,
DTXSID2047721,Petitgrain oil,empty_smiles,
DTXSID1047730,Orange terpenes,empty_smiles,
DTXSID5047796,Formalin,empty_smiles,
DTXSID2047800,Bleomycin sulfate,empty_smiles,
DTXSID5047829,Paromomycin sulfate,empty_smiles,
DTXSID9047831,Levamisole resinate,empty_smiles,
DTXSID7047853,Vinrosidine sulfate (1:x),empty_smiles,
DTXSID0047901,Ethylammonium nitrate,inorganic_no_carbon,
DTXSID0047903,Dimethylammonium nitrate,inorganic_no_carbon,
DTXSID3047924,Methylammonium nitrate,inorganic_no_carbon,
DTXSID1048122,Benzyl-C8-18-alkyldimethylammonium chlorides,empty_smiles,
DTXSID7048584,Aviptadil,empty_smiles,
DTXSID8048604,Leucomycin tartrate,empty_smiles,
DTXSID8048608,Lysozyme hydrochloride,empty_smiles,
DTXSID0048630,Sevelamer hydrochloride,empty_smiles,
DTXSID4048642,Teicoplanin,empty_smiles,
DTXSID5048683,"Eprinomectin (B1a, B1b mixture)",empty_smiles,
DTXSID1048702,Diisopropylaminomethyl-polystyrene,empty_smiles,
DTXSID3048738,"1,1'-Tetramethylenediguanidine sulfate",empty_smiles,
DTXSID6048755,Aloin,empty_smiles,
DTXSID9048776,Zanapezil fumarate (1:x),empty_smiles,
DTXSID7048877,Ibogaine hydrochloride (1:x),empty_smiles,
DTXSID7048954,Gonadorelin hydrochloride,empty_smiles,
DTXSID0049020,Poly-L-ornithine hydrochloride,empty_smiles,
DTXSID5049023,Potassium antimony(III) tartrate hydrate,empty_smiles,
DTXSID8049200,Barium nitrate,inorganic_no_carbon,
DTXSID3049201,Lithium sulfate,inorganic_no_carbon,
DTXSID2049216,Ammonium tetrachloroplatinate(II),inorganic_no_carbon,
DTXSID4049402,Zirconyl chloride octahydrate,inorganic_no_carbon,
DTXSID5049445,NTP Mix57 CT1 62-EQP,empty_smiles,
DTXSID0049446,NTP Mix58 CT1 62-GP,empty_smiles,
DTXSID5049447,NTP Mix59 CT1 62-GP,empty_smiles,
DTXSID0049448,NTP Mix60 CT1 62-GP,empty_smiles,
DTXSID5049449,NTP Mix61 CT1 62-GP,empty_smiles,
DTXSID4049450,NTP Mix62 CT1 62-GP,empty_smiles,
DTXSID9049451,NTP Mix63 CT1 62-GP,empty_smiles,
DTXSID4049452,NTP Mix64 CT1 62-GP,empty_smiles,
DTXSID9049453,NTP Mix65 CT1 62-GP,empty_smiles,
DTXSID4049454,NTP Mix66 CT1 62-GP,empty_smiles,
DTXSID9049455,NTP Mix67 CT1 62-GP,empty_smiles,
DTXSID4049456,NTP Mix68 CT1 62-GP,empty_smiles,
DTXSID9049457,NTP Mix69 CT1 62-GP,empty_smiles,
DTXSID4049458,NTP Mix70 CT1 62-GP,empty_smiles,
DTXSID9049459,NTP Mix71 CT1 62-GP,empty_smiles,
DTXSID8049460,NTP Mix72 CT1 62-GP,empty_smiles,
DTXSID3049461,NTP Mix73 CT1 62-GP,empty_smiles,
DTXSID8049462,NTP Mix74 CT1 62-GP,empty_smiles,
DTXSID3049463,NTP Mix75 CT1 62-GP,empty_smiles,
DTXSID8049464,NTP Mix76 CT1 62-GP,empty_smiles,
DTXSID3049465,NTP Mix77 CT1 62-GP,empty_smiles,
DTXSID8049466,NTP Mix78 CT1 62-GP,empty_smiles,
DTXSID3049467,NTP Mix79 CT1 62-GP,empty_smiles,
DTXSID8049468,NTP Mix80 CT1 62-GP,empty_smiles,
DTXSID3049469,NTP Mix81 CT1 62-GP,empty_smiles,
DTXSID2049470,NTP Mix52 CT1 3-EQP,empty_smiles,
DTXSID7049471,NTP Mix39 CT1 2-EQP,empty_smiles,
DTXSID2049472,NTP Mix53 CT1 3-EQP,empty_smiles,
DTXSID7049473,NTP Mix54 CT1 3-EQP,empty_smiles,
DTXSID2049474,NTP Mix55 CT1 3-EQP,empty_smiles,
DTXSID7049475,NTP Mix56 CT1 3-EQP,empty_smiles,
DTXSID2049476,NTP Mix40 CT1 3-EQP,empty_smiles,
DTXSID7049477,NTP Mix41 CT1 3-EQP,empty_smiles,
DTXSID2049478,NTP Mix42 CT1 3-EQP,empty_smiles,
DTXSID7049479,NTP Mix33 CT1 1-EQP,empty_smiles,
DTXSID6049480,NTP Mix43 CT1 3-EQP,empty_smiles,
DTXSID1049481,NTP Mix44 CT1 3-EQP,empty_smiles,
DTXSID6049482,NTP Mix45 CT1 3-EQP,empty_smiles,
DTXSID1049483,NTP Mix36 CT1 2-EQP,empty_smiles,
DTXSID6049484,NTP Mix37 CT1 2-EQP,empty_smiles,
DTXSID1049485,NTP Mix46 CT1 3-EQP,empty_smiles,
DTXSID6049486,NTP Mix34 CT1 1-EQP,empty_smiles,
DTXSID1049487,NTP Mix47 CT1 3-EQP,empty_smiles,
DTXSID6049488,NTP Mix48 CT1 3-EQP,empty_smiles,
DTXSID1049489,NTP Mix49 CT1 3-EQP,empty_smiles,
DTXSID0049490,NTP Mix38 CT1 2-EQP,empty_smiles,
DTXSID5049491,NTP Mix50 CT1 3-EQP,empty_smiles,
DTXSID0049492,NTP Mix35 CT1 1-EQP,empty_smiles,
DTXSID5049493,NTP Mix51 CT1 3-EQP,empty_smiles,
DTXSID0049494,NTP Mix1 AR1 4-EQP,empty_smiles,
DTXSID5049495,NTP Mix2 AR1 4-EQP,empty_smiles,
DTXSID0049496,NTP Mix3 AR1 8-EQP,empty_smiles,
DTXSID5049497,NTP Mix4 AR1 8-EQC,empty_smiles,
DTXSID0049498,NTP Mix5 AR1 8-7EQP,empty_smiles,
DTXSID5049499,NTP Mix6 AR1 8-7EQP,empty_smiles,
DTXSID7049500,NTP Mix7 AR1 8-7EQP,empty_smiles,
DTXSID2049501,NTP Mix8 AR1 8-7EQP,empty_smiles,
DTXSID7049502,NTP Mix9 AR1 8-7EQP,empty_smiles,
DTXSID2049503,NTP Mix10 AR1 8-7EQP,empty_smiles,
DTXSID7049504,NTP Mix11 AR1 8-7EQP,empty_smiles,
DTXSID2049505,NTP Mix12 AR1 8-7EQP,empty_smiles,
DTXSID7049506,NTP Mix13 AR1 8-GP,empty_smiles,
DTXSID2049507,NTP Mix14 AR1 8-GP,empty_smiles,
DTXSID7049508,NTP Mix15 AR1 8-GP,empty_smiles,
DTXSID2049509,NTP Mix16 AR1 8-GP,empty_smiles,
DTXSID1049510,NTP Mix17 AR1 8-GP,empty_smiles,
DTXSID6049511,NTP Mix18 AR1 8-GP,empty_smiles,
DTXSID1049512,NTP Mix19 AR1 8-GP,empty_smiles,
DTXSID6049513,NTP Mix20 AR1 8-GP,empty_smiles,
DTXSID1049514,NTP Mix118 ER1 5-EQP,empty_smiles,
DTXSID6049515,NTP Mix117 ER1 5-EQP,empty_smiles,
DTXSID1049516,NTP Mix96 ER1 10-EQP,empty_smiles,
DTXSID6049517,NTP Mix97 ER1 10-EQC,empty_smiles,
DTXSID1049518,NTP Mix99 ER1 10-EQP,empty_smiles,
DTXSID6049519,NTP Mix98 ER1 10-EQP,empty_smiles,
DTXSID5049520,NTP Mix100 ER1 10-EQP,empty_smiles,
DTXSID0049521,NTP Mix101 ER1 10-EQP,empty_smiles,
DTXSID5049522,NTP Mix102 ER1 10-EQP,empty_smiles,
DTXSID0049523,NTP Mix103 ER1 10-EQP,empty_smiles,
DTXSID5049524,NTP Mix104 ER1 10-EQP,empty_smiles,
DTXSID0049525,NTP Mix105 ER1 10-EQP,empty_smiles,
DTXSID5049526,NTP Mix106 ER1 10-EQP,empty_smiles,
DTXSID0049527,NTP Mix107 ER1 10-EQP,empty_smiles,
DTXSID5049528,NTP Mix108 ER1 10-GP,empty_smiles,
DTXSID0049529,NTP Mix109 ER1 10-GP,empty_smiles,
DTXSID9049530,NTP Mix110 ER1 10-GP,empty_smiles,
DTXSID4049531,NTP Mix111 ER1 10-GP,empty_smiles,
DTXSID9049532,NTP Mix112 ER1 10-GP,empty_smiles,
DTXSID4049533,NTP Mix113 ER1 10-GP,empty_smiles,
DTXSID9049534,NTP Mix114 ER1 10-GP,empty_smiles,
DTXSID4049535,NTP Mix115 ER1 10-GP,empty_smiles,
DTXSID9049536,NTP Mix116 ER1 10-GP,empty_smiles,
DTXSID4049537,NTP Mix82 ER AR1 18-EQP,empty_smiles,
DTXSID9049538,NTP Mix83 ER AR1 18-EQC,empty_smiles,
DTXSID4049539,NTP Mix84 ER AR1 18-EQP,empty_smiles,
DTXSID3049540,NTP Mix85 ER AR1 18-EQP,empty_smiles,
DTXSID8049541,NTP Mix86 ER AR1 18-EQP,empty_smiles,
DTXSID3049542,NTP Mix87 ER AR1 18-EQP,empty_smiles,
DTXSID8049543,NTP Mix88 ER AR1 18-GP,empty_smiles,
DTXSID3049544,NTP Mix89 ER AR1 18-GP,empty_smiles,
